id,name,age,wishlist
k01,Emma,7,a telescope
k02,Lucas,5,a wooden train set
k03,Noah,9,a robot kit
k04,Sofia,6,a paint set
k05,Mika,8,a microscope
k06,Aino,4,a plush reindeer
k07,Oliver,10,a soccer ball
k08,Freya,7,ice skates
k09,Leo,6,building blocks
k10,Isla,8,a storybook
k11,Hugo,5,a sled
k12,Vera,11,a camera
k13,Nils,9,a chess set
k14,Astrid,6,a dollhouse
k15,Erik,12,a bicycle
k16,Linnea,7,art supplies
k17,Oscar,8,a drum
k18,Saga,5,a puzzle
k19,Viktor,10,a science kit
k20,Elsa,6,a toy kitchen
k21,Bjorn,9,a kite
k22,Maja,7,a diary
k23,Arvid,8,a flashlight
k24,Alma,4,a stuffed fox
